I_normalized,V_normalized_flux_8Phi0,V_normalized_flux_8p1Phi0,V_normalized_flux_8p2Phi0,V_normalized_flux_8p3Phi0,V_normalized_flux_8p4Phi0,V_normalized_flux_8p5Phi0,V_normalized_flux_8p6Phi0,V_normalized_flux_8p7Phi0,V_normalized_flux_8p8Phi0,V_normalized_flux_8p9Phi0,V_normalized_flux_9Phi0,V_normalized_flux_9p1Phi0,V_normalized_flux_9p2Phi0,V_normalized_flux_9p3Phi0,V_normalized_flux_9p4Phi0,V_normalized_flux_9p5Phi0,V_normalized_flux_9p6Phi0,V_normalized_flux_9p7Phi0,V_normalized_flux_9p8Phi0,V_normalized_flux_9p9Phi0,V_normalized_flux_10Phi0
0.000000000000000000e+00,-1.230322741510369355e-11,9.133985913878772758e-12,-2.020396919244184873e-12,-4.502643024631831539e-12,2.139283985795554148e-11,2.193058847006885657e-11,7.639415399267210819e-12,9.801073008691983256e-12,-2.698307625774652425e-11,-7.337275135779037845e-12,1.222701400834242237e-04,-6.982353247086997330e-12,-6.917133904505611055e-12,3.762570931605485032e-12,-2.045030786021726010e-11,-1.251147788652457746e-11,2.347391121295687954e-11,7.435633826768967422e-12,-7.216199044258153389e-12,1.877690934956501593e-12,2.468117352894493779e-11
1.000000000000000021e-02,-1.240743219187159362e-13,1.704919668437028801e-01,1.884957590270052996e-01,1.947148372508542002e-01,1.929883024248199574e-01,1.933035908146798487e-01,1.929933569506221414e-01,1.947530003541299293e-01,1.884959937680980024e-01,-5.393775173001470153e-13,-5.330193035017773624e-12,2.171121664013293299e-12,1.884832321336159522e-01,1.914468368971418422e-01,1.964374698041994327e-01,1.971660280336466342e-01,1.964269933644205990e-01,1.914619179010491612e-01,1.884835064804770699e-01,1.737907878531120831e-01,-4.353932979048523435e-13
2.000000000000000042e-02,-5.147562478595261111e-12,2.717255400335142346e-01,2.906949950819892048e-01,2.975146443491272774e-01,3.102341867257676356e-01,3.052025831437510939e-01,3.102339639269303673e-01,2.975340301613498273e-01,2.906098603505690159e-01,2.719625821919781639e-01,-4.276210663934465266e-12,2.710020149237163389e-01,2.920143942529971337e-01,2.984950178957284650e-01,2.988482690057174818e-01,3.114540837721199162e-01,2.988145197363151206e-01,2.985008522452569091e-01,2.919675426117933070e-01,2.715015079342747439e-01,2.315224529746601856e-13
2.999999999999999889e-02,-1.053605773027911124e-12,2.938482741824035571e-01,5.966183102608806355e-01,5.981950212054912841e-01,5.986456340478828464e-01,5.988166268509558243e-01,5.986220545639860946e-01,5.981475672681210165e-01,5.965808238148732068e-01,2.963121484501266001e-01,-1.392038083554731877e-12,2.949298222670688752e-01,5.968611004715415058e-01,5.983965911306913243e-01,5.988997680807588431e-01,5.989378560262127449e-01,5.989245700125828131e-01,5.984451885149193462e-01,5.969064754453652366e-01,3.043336343395605659e-01,1.213643208031387066e-12
4.000000000000000083e-02,3.064575411645801349e-13,3.139661606820401407e-01,7.956130573770386905e-01,7.976913531106540889e-01,7.984422900734300388e-01,7.985956105102789415e-01,7.984482294466367369e-01,7.976742502407287994e-01,7.956130970003776337e-01,2.986744298334635950e-01,-3.626464608089998156e-12,3.138208950001208364e-01,7.956006832630833081e-01,7.976042467749959730e-01,7.981267248891191768e-01,7.983170024306264212e-01,7.981286933080523616e-01,7.976104123521540190e-01,7.956021661554666391e-01,2.965782572295816433e-01,2.663074268129790358e-12
5.000000000000000278e-02,-5.608080810249483220e-13,8.992934012423631218e-01,9.229463127762371766e-01,9.374701759275383406e-01,9.909252139779206603e-01,9.915196514485521417e-01,9.909430384876332099e-01,9.374472333070775765e-01,9.229327521421335501e-01,8.979064900403505023e-01,-1.676481063617786922e-12,8.995788020401953577e-01,9.254260789461300485e-01,9.403757709631258566e-01,9.890956005496341907e-01,9.905779210280796221e-01,9.890792727527223382e-01,9.403903970651547040e-01,9.254099819129767424e-01,8.986387408577382052e-01,7.136709282342939223e-13
5.999999999999999778e-02,-2.088172936868141909e-12,9.272542912951794447e-01,1.198308653383486133e+00,1.199129795910431229e+00,1.199237599984561475e+00,1.199471724368913694e+00,1.199240419774134203e+00,1.199164160084044362e+00,1.198301828030046590e+00,9.263550011260920369e-01,1.360576124126457923e-12,9.245377130102967467e-01,1.198153174145988986e+00,1.199047970350405334e+00,1.199447797241130154e+00,1.199343315029739010e+00,1.199444673961412633e+00,1.199012488670244236e+00,1.198167175900506143e+00,9.246331699001762994e-01,-1.273767137292375543e-12
7.000000000000000666e-02,-5.451442583118679076e-13,1.390609426323050402e+00,1.397687845893550662e+00,1.398826167714293245e+00,1.399249821740829569e+00,1.399208828831244755e+00,1.399266057921047413e+00,1.398850765304642918e+00,1.397694640668612376e+00,1.391868942788329067e+00,7.976009848079116348e-13,1.390692122452081181e+00,1.397976270423661349e+00,1.398916078406526209e+00,1.399121500800760254e+00,1.399331183988989036e+00,1.399111043480131045e+00,1.398891876398616674e+00,1.397957446287184213e+00,1.391832222482935810e+00,4.341803330940432848e-13
8.000000000000000167e-02,1.158316723511989707e-12,1.526104095650546499e+00,1.550650425908875585e+00,1.564353598113353838e+00,1.572207961507801288e+00,1.575481562589796880e+00,1.572204883562319910e+00,1.564392877831970008e+00,1.550642452853993714e+00,1.523126128504552312e+00,3.505688469174072240e-13,1.526028443973720394e+00,1.551361512584479518e+00,1.562091711080684009e+00,1.572645307994348540e+00,1.577315897754089313e+00,1.572651805676929637e+00,1.562063735555684563e+00,1.551358857263805069e+00,1.523023581567746199e+00,1.681483683374149250e-12
8.999999999999999667e-02,-6.191936986506171217e-13,1.794157183590405547e+00,1.798633604042368495e+00,1.799282029265572680e+00,1.799481140979578786e+00,1.799561925521714123e+00,1.799481904241569952e+00,1.799277392282318422e+00,1.798624444386728749e+00,1.793709253598744668e+00,2.389705980184974896e-12,1.794116995344870569e+00,1.798668289966025569e+00,1.799353268757309277e+00,1.799544012729511255e+00,1.799556576553839493e+00,1.799543027795091454e+00,1.799358183365752595e+00,1.798681052500841426e+00,1.793624206448794833e+00,-4.664211224905917974e-13
1.000000000000000056e-01,-1.530856172424735949e-12,1.990470730089715978e+00,1.998491921089083689e+00,1.999340229895175902e+00,1.999551721312267993e+00,1.999599106252115011e+00,1.999543947528322319e+00,1.999296917709429744e+00,1.998494662895675678e+00,1.990516948165821809e+00,3.532828034462752412e-12,1.990581164147682491e+00,1.998772346100057717e+00,1.999283311014816267e+00,1.999465941450978557e+00,1.999517340191051096e+00,1.999473457622759742e+00,1.999326023623365423e+00,1.998773528518619891e+00,1.990591933763506960e+00,-1.275645647779852724e-12
1.100000000000000006e-01,7.554968472618099898e-13,2.142932487228651262e+00,2.171744691730927102e+00,2.179160995955712554e+00,2.182598153469502478e+00,2.185106631550074230e+00,2.182576683802073259e+00,2.179152389055630135e+00,2.171776139045610954e+00,2.140520311710266022e+00,1.329900780159535295e-12,2.142789104487897056e+00,2.169359779320385595e+00,2.179319651313226913e+00,2.183706404130317580e+00,2.183644387851375601e+00,2.183723660697932889e+00,2.179324792705470859e+00,2.169344196194348484e+00,2.141368309734283493e+00,9.872760363585983370e-13
1.199999999999999956e-01,9.545332629217078623e-13,2.172091016531916274e+00,2.398638264628602190e+00,2.399483830950034591e+00,2.399558502233872126e+00,2.399673565808946307e+00,2.399530026469585575e+00,2.399444432293103446e+00,2.398645955963068843e+00,2.175566903576561018e+00,1.705736659638960533e-13,2.172302334242044441e+00,2.398947757261512326e+00,2.399323898566157354e+00,2.399596164372062024e+00,2.399564950367700344e+00,2.399626450753961304e+00,2.399364333756222933e+00,2.398934616867852032e+00,2.175595665661640865e+00,7.863833428624364539e-13
