I_normalized,V_normalized
0.000000000000000000e+00,-7.337275135779037845e-12
1.000000000000000021e-02,-5.393775173001470153e-13
2.000000000000000042e-02,2.719625821919781639e-01
2.999999999999999889e-02,2.963121484501266001e-01
4.000000000000000083e-02,2.986744298334635950e-01
5.000000000000000278e-02,8.979064900403505023e-01
5.999999999999999778e-02,9.263550011260920369e-01
7.000000000000000666e-02,1.391868942788329067e+00
8.000000000000000167e-02,1.523126128504552312e+00
8.999999999999999667e-02,1.793709253598744668e+00
1.000000000000000056e-01,1.990516948165821809e+00
1.100000000000000006e-01,2.140520311710266022e+00
1.199999999999999956e-01,2.175566903576561018e+00
1.300000000000000044e-01,2.594159261772955638e+00
1.400000000000000133e-01,2.761989810926642530e+00
1.499999999999999944e-01,2.992123286549141170e+00
1.600000000000000033e-01,3.193711924519789136e+00
1.700000000000000122e-01,3.368880668101663645e+00
1.799999999999999933e-01,3.424776047243328403e+00
1.900000000000000022e-01,3.791851092508010002e+00
2.000000000000000111e-01,3.969697922616338470e+00
2.099999999999999922e-01,4.031643331518087514e+00
2.200000000000000011e-01,4.387218488146589657e+00
2.300000000000000100e-01,4.564516931985181714e+00
2.399999999999999911e-01,4.633854111915478136e+00
2.500000000000000000e-01,4.653594650555155532e+00
2.600000000000000089e-01,5.141517409194480415e+00
2.700000000000000178e-01,5.213958184225739423e+00
2.800000000000000266e-01,5.237087677713392786e+00
2.899999999999999800e-01,5.250448321653388817e+00
2.999999999999999889e-01,5.482193927137831047e+00
3.099999999999999978e-01,5.491563930455727771e+00
3.200000000000000067e-01,5.516484432332999788e+00
3.300000000000000155e-01,5.525980496845152246e+00
3.400000000000000244e-01,5.534788116540181768e+00
3.500000000000000333e-01,5.541914037698655093e+00
3.599999999999999867e-01,5.544565906736241168e+00
3.699999999999999956e-01,5.548968681363179556e+00
3.800000000000000044e-01,5.552250126405020580e+00
3.900000000000000133e-01,5.552207305241359414e+00
4.000000000000000222e-01,5.557633976976445567e+00
4.100000000000000311e-01,5.559050593718806610e+00
4.199999999999999845e-01,5.563407288136152040e+00
4.299999999999999933e-01,5.562505218805620544e+00
4.400000000000000022e-01,5.567759690100429815e+00
4.500000000000000111e-01,8.996811454280260634e+00
4.600000000000000200e-01,9.169575235908105526e+00
4.700000000000000289e-01,9.390289949468554553e+00
4.799999999999999822e-01,9.597914375000430098e+00
4.899999999999999911e-01,9.797766230067990634e+00
5.000000000000000000e-01,9.997715588407601217e+00
5.100000000000000089e-01,1.019860297597019638e+01
5.200000000000000178e-01,1.039722886719618344e+01
5.300000000000000266e-01,1.059873572973781108e+01
5.400000000000000355e-01,1.079889343600238760e+01
5.500000000000000444e-01,1.099492825621188885e+01
5.600000000000000533e-01,1.119910347865583056e+01
5.700000000000000622e-01,1.139900627080322337e+01
5.799999999999999600e-01,1.159907981862618698e+01
5.899999999999999689e-01,1.179937302258314702e+01
5.999999999999999778e-01,1.199700038677270619e+01
6.099999999999999867e-01,1.219941745638125496e+01
6.199999999999999956e-01,1.239941053136914739e+01
6.300000000000000044e-01,1.259945742648690192e+01
6.400000000000000133e-01,1.279954367860413100e+01
6.500000000000000222e-01,1.299809700682678582e+01
6.600000000000000311e-01,1.319961963261225613e+01
6.700000000000000400e-01,1.339947554082006143e+01
6.800000000000000488e-01,1.359959538751304819e+01
6.900000000000000577e-01,1.379965735033448127e+01
7.000000000000000666e-01,1.399958698073804086e+01
7.099999999999999645e-01,1.419970841479971568e+01
7.199999999999999734e-01,1.439956570526888413e+01
7.299999999999999822e-01,1.459975909270222161e+01
7.399999999999999911e-01,1.479928894875234313e+01
7.500000000000000000e-01,1.499974610938830288e+01
7.600000000000000089e-01,1.519935029602242693e+01
7.700000000000000178e-01,1.539978373859093885e+01
7.800000000000000266e-01,1.559948098998426147e+01
7.900000000000000355e-01,1.579985138223831065e+01
8.000000000000000444e-01,1.599955054774178720e+01
8.100000000000000533e-01,1.619982925158414844e+01
8.200000000000000622e-01,1.639973817827853608e+01
8.300000000000000711e-01,1.659981674510797234e+01
8.399999999999999689e-01,1.679983281550721586e+01
8.499999999999999778e-01,1.699982956621672159e+01
8.599999999999999867e-01,1.719989756426917893e+01
8.699999999999999956e-01,1.739983790565892008e+01
8.800000000000000044e-01,1.759987227212556249e+01
8.900000000000000133e-01,1.779988108475328090e+01
9.000000000000000222e-01,1.799980734565528095e+01
9.100000000000000311e-01,1.819987704130976169e+01
9.200000000000000400e-01,1.839988711103113062e+01
9.300000000000000488e-01,1.859989385066995027e+01
9.400000000000000577e-01,1.879992934217001377e+01
9.500000000000000666e-01,1.899988557968085701e+01
9.599999999999999645e-01,1.919992836895050203e+01
9.699999999999999734e-01,1.939994318483037006e+01
9.799999999999999822e-01,1.959990398589416927e+01
9.899999999999999911e-01,1.979993283690745898e+01
1.000000000000000000e+00,1.999993584229046206e+01
1.010000000000000009e+00,2.019992612245067676e+01
1.020000000000000018e+00,2.039996346709369490e+01
1.030000000000000027e+00,2.059997502491023269e+01
1.040000000000000036e+00,2.079995295961849422e+01
1.050000000000000044e+00,2.099998426731746548e+01
1.060000000000000053e+00,2.119995442556278320e+01
1.070000000000000062e+00,2.139996914750095414e+01
1.080000000000000071e+00,2.159998250784355989e+01
1.090000000000000080e+00,2.179998685685530546e+01
1.100000000000000089e+00,2.200001146175607403e+01
